chunk_id,source_id,sport,category,title,organization,text
C0014,S04,Soccer,Nutrition,Carbohydrate Intake and Soccer Performance - ISSN Review,International Society of Sports Nutrition,"Daily Carbohydrate Intake for Soccer - Light training day: 3–5 g/kg body weight - Moderate training day: 5–7 g/kg body weight - High-intensity training or match day: 6–10 g/kg body weight - Example: A 70 kg player should consume 420–700 g of carbohydrates on a match day 3. Carbohydrate Loading Before Competition - For matches or tournaments lasting 90+ minutes, carbohydrate loading in the 24–48 hours prior is beneficial - Strategy: Increase carbohydrate intake to 8–12 g/kg body weight while reducing training intensity - Glycogen stores can increase by 10–20% with proper loading 4. Intra-Match Carbohydrate Use - Consuming 30–60 g/hr of carbohydrate during a match maintains blood glucose and delays fatigue - Sources: sports drinks (6–8% carbohydrate concentration), energy gels, banana pieces - Mouth rinsing with carbohydrate solution (without swallowing) may also improve performance when full intake is not possible 5. Post-Match Glycogen Replenishment - Immediate replenishment (within 30"
C0015,S04,Soccer,Nutrition,Carbohydrate Intake and Soccer Performance - ISSN Review,International Society of Sports Nutrition,"gels, banana pieces - Mouth rinsing with carbohydrate solution (without swallowing) may also improve performance when full intake is not possible 5. Post-Match Glycogen Replenishment - Immediate replenishment (within 30 minutes) is most efficient - Rate: 1.0–1.5 g/kg body weight in the first hour - Combine with 20 g of protein to enhance glycogen synthesis and begin muscle repair FOOD SOURCES OF CARBOHYDRATES - Fast-digesting (good pre/during/post match): white rice, white bread, bananas, sports drinks, energy gels, fruit juice - Slow-digesting (good for daily intake): oatmeal, whole grain pasta, sweet potatoes, legumes, brown rice PRACTICAL APPLICATIONS - Beginner players often underestimate carbohydrate needs - Do not restrict carbohydrates in an attempt to lose weight during a competitive season - Distribute carbohydrate intake throughout the day; do not eat all in one meal - Plan post-training nutrition as seriously as pre-training nutrition COMMON MISCONCEPTIONS - ""Carbs make you fat"" — FALSE"
C0016,S04,Soccer,Nutrition,Carbohydrate Intake and Soccer Performance - ISSN Review,International Society of Sports Nutrition,"carbohydrate intake throughout the day; do not eat all in one meal - Plan post-training nutrition as seriously as pre-training nutrition COMMON MISCONCEPTIONS - ""Carbs make you fat"" — FALSE for athletes in active training; carbs fuel performance - ""You only need carbs on game day"" — FALSE; daily carbohydrate intake supports training adaptations - ""Protein is more important than carbs for athletes"" — INCORRECT for intermittent sports; carbs are primary fuel KEY TAKEAWAYS - Match-day carbohydrate intake should be 6–10 g/kg body weight - Carbohydrate loading 24–48 hrs before competition can improve performance - Intra-match carbohydrate intake (30–60 g/hr) delays fatigue - Post-match recovery window is 30–45 minutes for optimal replenishment"
C0017,S05,Soccer,Recovery,Recovery Strategies for Soccer - Sleep and Active Recovery,ACSM,"SOURCE: Recovery Strategies for Soccer - Sleep and Active Recovery (2022) ORGANIZATION: American College of Sports Medicine (ACSM) CATEGORY: Soccer - Recovery ------------------------------------------------------------ OVERVIEW Recovery is a critical and often neglected component of soccer training. ACSM guidelines emphasize that without adequate recovery, training adaptations are impaired, injury risk increases, and performance declines. This document covers sleep, active recovery, and passive recovery strategies for soccer athletes. SLEEP — THE MOST IMPORTANT RECOVERY TOOL 1. Recommended Sleep Duration - Adults: 7–9 hours per night - Adolescent athletes (14–18): 9–10 hours strongly recommended - Elite soccer players average only 6.5–7 hours — this is a performance deficit 2. Sleep Quality Matters as Much as Duration - Avoid screens (blue light) 60–90 minutes before bed - Keep room cool (65–68°F / 18–20°C) and dark - Consistent sleep/wake schedule, even on weekends 3. Sleep and Performance Research - Athletes who slept 10 hours/night for 5–7"
C0018,S05,Soccer,Recovery,Recovery Strategies for Soccer - Sleep and Active Recovery,ACSM,"bed - Keep room cool (65–68°F / 18–20°C) and dark - Consistent sleep/wake schedule, even on weekends 3. Sleep and Performance Research - Athletes who slept 10 hours/night for 5–7 weeks showed improved sprint times, accuracy, and reaction time - Sleep deprivation (< 6 hours) reduces reaction time, impairs decision-making, and increases injury risk by up to 1.7x 4. Napping - A 20–30 minute nap between 1–3 PM can reduce fatigue without disrupting nighttime sleep - Especially useful on match days or during tournament play ACTIVE RECOVERY 1. What Is Active Recovery? - Low-intensity movement performed after high-intensity exercise to accelerate recovery - Goal: flush metabolic waste products (lactate), maintain blood flow, reduce stiffness 2. Recommended Active Recovery Methods for Soccer - Light jogging or walking: 10–20 minutes at 50–60% max heart rate - Swimming or pool walking: low-impact, highly effective - Cycling (low resistance): promotes circulation without joint stress"
C0019,S05,Soccer,Recovery,Recovery Strategies for Soccer - Sleep and Active Recovery,ACSM,"Soccer - Light jogging or walking: 10–20 minutes at 50–60% max heart rate - Swimming or pool walking: low-impact, highly effective - Cycling (low resistance): promotes circulation without joint stress - Dynamic stretching and mobility work: hip circles, leg swings, shoulder rolls 3. Timing - Day after a match: Active recovery session (20–30 min) is more beneficial than complete rest - Do NOT train at high intensity within 24 hours of a match if recovery is suboptimal PASSIVE RECOVERY STRATEGIES 1. Cold Water Immersion (CWI) - 10–15 minutes in water at 10–15°C - Shown to reduce muscle soreness and perceived fatigue within 24 hours post-match - Used by professional clubs routinely 2. Contrast Water Therapy - Alternating hot and cold water exposure (1 min hot, 1 min cold, 3–5 cycles) - May reduce delayed onset muscle soreness (DOMS) 3. Compression Garments - Wearing compression tights/socks post-match may reduce swelling and"
C0020,S05,Soccer,Recovery,Recovery Strategies for Soccer - Sleep and Active Recovery,ACSM,"water exposure (1 min hot, 1 min cold, 3–5 cycles) - May reduce delayed onset muscle soreness (DOMS) 3. Compression Garments - Wearing compression tights/socks post-match may reduce swelling and soreness - Evidence is moderate; works better for some athletes than others 4. Foam Rolling / Soft Tissue Work - Self-myofascial release reduces tissue tightness - 5–10 minutes post-session targeting quadriceps, hamstrings, calves, IT band PSYCHOLOGICAL RECOVERY - Mindfulness and mental decompression are part of full recovery - Post-match stress (analysis, social media, adrenaline) can delay sleep - Recommended: breathing exercises or journaling to decompress post-match SAMPLE RECOVERY WEEK (After Match on Saturday) - Saturday (post-match): CWI, protein + carb meal, 8+ hours sleep - Sunday: Active recovery — 20 min walk/swim + foam rolling - Monday: Light technical session (no high-intensity conditioning) - Tuesday: Return to full training KEY TAKEAWAYS - Sleep is the #1 recovery tool — protect"
C0021,S05,Soccer,Recovery,Recovery Strategies for Soccer - Sleep and Active Recovery,ACSM,min walk/swim + foam rolling - Monday: Light technical session (no high-intensity conditioning) - Tuesday: Return to full training KEY TAKEAWAYS - Sleep is the #1 recovery tool — protect it - Active recovery outperforms complete rest for soccer players - Cold water immersion reduces soreness effectively - Recovery is as important as training — plan it deliberately
C0022,S06,Soccer,Recovery,Hydration Strategies for Team Sport Athletes,GSSI - Gatorade Sports Science Institute,"SOURCE: Hydration Strategies for Team Sport Athletes (2021) ORGANIZATION: Gatorade Sports Science Institute (GSSI) CATEGORY: Soccer - Recovery / Hydration ------------------------------------------------------------ OVERVIEW Hydration is one of the most directly impactful and most commonly neglected performance factors in team sports. Even mild dehydration (1–2% of body weight) measurably reduces physical and cognitive performance. This GSSI document summarizes hydration guidelines for team sport athletes, with specific applications for soccer. WHY HYDRATION MATTERS - Dehydration of just 1% body weight reduces aerobic capacity - Dehydration of 2% impairs decision-making, reaction time, and skill execution - Core body temperature rises faster when dehydrated, increasing heat illness risk - Soccer players lose 1–2.5 liters of sweat per hour depending on heat and intensity SWEAT RATE AND ELECTROLYTE LOSS - Average sweat rate: 1–2 L/hour (higher in hot or humid conditions) - Sweat contains sodium (primary), potassium, chloride, and magnesium - Sodium loss: 500–1,500 mg per"
C0023,S06,Soccer,Recovery,Hydration Strategies for Team Sport Athletes,GSSI - Gatorade Sports Science Institute,"AND ELECTROLYTE LOSS - Average sweat rate: 1–2 L/hour (higher in hot or humid conditions) - Sweat contains sodium (primary), potassium, chloride, and magnesium - Sodium loss: 500–1,500 mg per liter of sweat - Replacing sodium is essential — plain water alone can cause hyponatremia (low blood sodium) if consumed in excessive quantities without electrolytes HYDRATION RECOMMENDATIONS FOR SOCCER PLAYERS 1. Before Training / Match - Urine should be pale yellow (like lemonade) — not clear, not dark - Drink 400–600 mL of water or sports drink 2 hours before - Drink an additional 200 mL right before kickoff 2. During Training / Match - Take advantage of every stoppage, corner kick, and halftime to hydrate - Aim for 150–250 mL every 15–20 minutes - Use sports drinks (6–8% carbohydrate + electrolytes) for sessions >60 minutes - In hot weather, increase fluid intake further 3. After Training / Match -"
C0024,S06,Soccer,Recovery,Hydration Strategies for Team Sport Athletes,GSSI - Gatorade Sports Science Institute,"mL every 15–20 minutes - Use sports drinks (6–8% carbohydrate + electrolytes) for sessions >60 minutes - In hot weather, increase fluid intake further 3. After Training / Match - Weigh yourself before and after training - Drink 1.5 liters of fluid for every 1 kg of body weight lost - Include sodium (sports drink, salty snack, broth) to speed rehydration and retain fluids - Full rehydration typically takes 4–6 hours SPORTS DRINKS vs. WATER - Water is sufficient for sessions < 60 minutes in mild conditions - Sports drinks are superior for sessions > 60 minutes because they: - Provide carbohydrates for energy - Contain electrolytes that enhance fluid absorption and retention - Taste better, which encourages athletes to drink more SIGNS OF DEHYDRATION - Dark urine - Dry mouth, headache - Muscle cramps - Dizziness or lightheadedness - Reduced concentration or irritability HEAT-RELATED RISK MANAGEMENT - Acclimatize to"
C0025,S06,Soccer,Recovery,Hydration Strategies for Team Sport Athletes,GSSI - Gatorade Sports Science Institute,"drink more SIGNS OF DEHYDRATION - Dark urine - Dry mouth, headache - Muscle cramps - Dizziness or lightheadedness - Reduced concentration or irritability HEAT-RELATED RISK MANAGEMENT - Acclimatize to hot conditions over 7–14 days before competing in heat - Pre-cooling strategies (cold towel, ice vest) reduce thermal strain before kickoff - Recognize signs of heat exhaustion: heavy sweating, weakness, cold/pale clammy skin — stop activity immediately PRACTICAL HYDRATION TIPS - Bring your own labeled water bottle to every practice — do not share - Start hydrating the day before a match, not just on match day - Avoid excessive caffeine and alcohol (both are diuretics) - Coffee in moderation (1–2 cups) does not cause dehydration at normal intake levels KEY TAKEAWAYS - Dehydration starts impacting performance at just 1–2% body weight loss - Drink 400–600 mL 2 hours before, 150–250 mL every 15–20 minutes during - Replace 150% of"
C0026,S06,Soccer,Recovery,Hydration Strategies for Team Sport Athletes,GSSI - Gatorade Sports Science Institute,"KEY TAKEAWAYS - Dehydration starts impacting performance at just 1–2% body weight loss - Drink 400–600 mL 2 hours before, 150–250 mL every 15–20 minutes during - Replace 150% of fluid lost post-exercise (include electrolytes/sodium) - Sports drinks are better than water for sessions >60 minutes - Monitor urine color daily as a hydration check"
C0027,S07,Tennis,Training,ITF Physical Training Guide for Tennis,International Tennis Federation,"SOURCE: ITF Physical Training Guide for Tennis (2023) ORGANIZATION: International Tennis Federation (ITF) CATEGORY: Tennis - Training ------------------------------------------------------------ OVERVIEW Tennis is an intermittent sport characterized by repeated high-intensity efforts interspersed with short recovery periods. The average point lasts under 10 seconds, but matches can last for hours. Training must address aerobic endurance, anaerobic power, agility, and injury prevention. KEY FITNESS COMPONENTS 1. Aerobic Endurance: Base conditioning to sustain energy over a long match. 2. Anaerobic Power: The ability to execute explosive movements (sprints, jumps) repeatedly. 3. Agility and Change of Direction (COD): Tennis requires lateral, forward, and backward movements. 4. Strength and Power: Core strength for rotational power, shoulder/rotator cuff stability, and leg strength for groundstrokes and serves. 5. Flexibility/Mobility: Key for preventing common injuries (e.g., lower back, shoulder, knees). TRAINING PHASES (Periodization) - Off-Season (4-8 weeks): Focus on building aerobic base and maximal strength. High volume, lower intensity tennis"
C0028,S07,Tennis,Training,ITF Physical Training Guide for Tennis,International Tennis Federation,"Key for preventing common injuries (e.g., lower back, shoulder, knees). TRAINING PHASES (Periodization) - Off-Season (4-8 weeks): Focus on building aerobic base and maximal strength. High volume, lower intensity tennis play. - Pre-Season (3-4 weeks): Shift to anaerobic power, agility, and specific tennis movements. High intensity, moderate volume. - In-Season: Maintain fitness levels. Training volume decreases while match play increases. Focus on recovery and tactical work. - Active Rest (1-3 weeks): Post-season recovery. Low-impact cross-training (swimming, cycling) recommended. SAMPLE WEEKLY PLAN (Intermediate/Pre-Season) - Monday: Tennis Practice (90 min) + Lower Body Strength (45 min) - Tuesday: Tennis Practice (120 min) + Core & Mobility (30 min) - Wednesday: Interval Sprints / Agility Drills (45 min) - Thursday: Match Play (Practice match) - Friday: Tennis Practice (90 min) + Upper Body & Rotator Cuff Strength (45 min) - Saturday: Active Recovery (Light jog or swim) - Sunday: Rest INJURY PREVENTION -"
C0029,S07,Tennis,Training,ITF Physical Training Guide for Tennis,International Tennis Federation,"match) - Friday: Tennis Practice (90 min) + Upper Body & Rotator Cuff Strength (45 min) - Saturday: Active Recovery (Light jog or swim) - Sunday: Rest INJURY PREVENTION - The ""kinetic chain"" (legs to core to shoulder to arm) must be balanced. - Shoulder Care: Perform internal/external rotation exercises with resistance bands daily. - Core Stability: Anti-rotation exercises (e.g., Pallof press) and dynamic planks. KEY TAKEAWAYS - Train movement in all directions (multi-directional agility). - Rotator cuff and core strength are non-negotiable for injury prevention. - Balance aerobic endurance with high-intensity interval training (HIIT)."
C0030,S08,Tennis,Training,USTA High Performance Tennis Conditioning Program,United States Tennis Association,"SOURCE: USTA High Performance Tennis Conditioning Program (2022) ORGANIZATION: United States Tennis Association (USTA) CATEGORY: Tennis - Training ------------------------------------------------------------ OVERVIEW The USTA emphasizes that tennis conditioning must mimic the work-to-rest ratios of actual match play. A typical point lasts 5-10 seconds, followed by 20-25 seconds of rest between points, and 90 seconds between changeovers. ON-COURT CONDITIONING - Spider Drill: Sprinting to 5 different points on the court and returning to the center. Develops multi-directional speed. - Suicides (Lines): Sprinting to the service line, baseline, and back. Focuses on acceleration and deceleration. - Work-to-Rest Ratio: Drills should use a 1:2 or 1:3 work-to-rest ratio to simulate match conditions. Example: 10 seconds of sprinting, 20-30 seconds of rest. STRENGTH TRAINING FOCUS - Lower Body: Squats, lunges, lateral bounds. The power for strokes originates in the legs. - Core: Medicine ball throws (rotational power), cable woodchoppers, heavy carries. - Upper Body: Pull-ups, rows,"
C0031,S08,Tennis,Training,USTA High Performance Tennis Conditioning Program,United States Tennis Association,"Lower Body: Squats, lunges, lateral bounds. The power for strokes originates in the legs. - Core: Medicine ball throws (rotational power), cable woodchoppers, heavy carries. - Upper Body: Pull-ups, rows, push-ups. Pulling exercises should be prioritized to balance the heavy pushing/internal rotation of serving and hitting forehands. PLYOMETRICS - Box jumps, medicine ball slams, and lateral skater jumps improve explosive power. - Beginners should start with low-intensity plyometrics (e.g., jump rope, basic bounding) before progressing to high-impact jumps. KEY TAKEAWAYS - Condition on the court using tennis-specific movements. - Match the work-to-rest ratios of real matches. - Build lower body power for better court coverage and stroke velocity."
C0032,S09,Tennis,Nutrition,Nutritional Considerations for Tennis Players,British Journal of Sports Medicine,"SOURCE: Nutritional Considerations for Tennis Players (2021) ORGANIZATION: British Journal of Sports Medicine (BJSM) CATEGORY: Tennis - Nutrition ------------------------------------------------------------ OVERVIEW Tennis poses unique nutritional challenges because match duration and environmental conditions are highly variable and unpredictable. Players must start matches fully fueled and hydrated, and have strategies to maintain energy during long matches. MACRONUTRIENT NEEDS 1. Carbohydrates (CHO): The main fuel source. - Daily: 5-8 g/kg body weight depending on training load. - Pre-match (3-4 hours prior): 1-4 g/kg CHO. E.g., pasta, rice, bread. - During match: 30-60 g CHO per hour for matches exceeding 90 minutes. E.g., sports drinks, gels, bananas. 2. Protein: Essential for muscle repair. - Daily: 1.4-1.6 g/kg body weight. - Post-match: 20-25 g high-quality protein within 2 hours. 3. Fats: - Provide energy for lower-intensity periods but should be limited pre-match to avoid gastrointestinal (GI) distress. PRE-MATCH NUTRITION - A pre-match meal should be high"
C0033,S09,Tennis,Nutrition,Nutritional Considerations for Tennis Players,British Journal of Sports Medicine,"within 2 hours. 3. Fats: - Provide energy for lower-intensity periods but should be limited pre-match to avoid gastrointestinal (GI) distress. PRE-MATCH NUTRITION - A pre-match meal should be high in carbohydrates, moderate in protein, and low in fat and fiber. - Timing: 3-4 hours before the match. A smaller snack can be consumed 1-2 hours prior. DURING MATCH - Small bites of banana or sips of sports drink at changeovers. - Avoid trying new foods or supplements on match day to prevent stomach issues. POST-MATCH RECOVERY - The 4 R's: Refuel (carbs), Rebuild (protein), Rehydrate (fluids), and Rest. - Consume a recovery snack (e.g., chocolate milk, fruit and yogurt) within 30-45 minutes. KEY TAKEAWAYS - Fuel with carbohydrates before and during matches over 90 minutes. - Eat familiar, easily digestible foods on match day. - Begin recovery fueling within 30-45 minutes post-match."
C0034,S09,Tennis,Nutrition,Nutritional Considerations for Tennis Players,British Journal of Sports Medicine,"and during matches over 90 minutes. - Eat familiar, easily digestible foods on match day. - Begin recovery fueling within 30-45 minutes post-match."
C0035,S10,Tennis,Nutrition,Fueling for Tennis - Carbohydrate and Fluid Strategies,ISSN,"SOURCE: Fueling for Tennis - Carbohydrate and Fluid Strategies (2022) ORGANIZATION: International Society of Sports Nutrition (ISSN) CATEGORY: Tennis - Nutrition ------------------------------------------------------------ OVERVIEW The ISSN highlights the critical role of carbohydrate availability and fluid balance in racquet sports like tennis. Fatigue in tennis is often caused by glycogen depletion or dehydration, both of which impair stroke accuracy, footwork, and decision-making. CARBOHYDRATE STRATEGIES - Match-day fueling: Players should aim for a high-carbohydrate meal (2-3 g/kg) roughly 3 hours before the match. - Intra-match fueling: For matches lasting longer than 1 hour, consuming 30-60 grams of carbohydrates per hour is recommended to maintain blood glucose levels. - Practical sources: Sports drinks (which also provide hydration), energy chews, and ripe bananas are excellent choices during changeovers. HYDRATION AND ELECTROLYTES - Sweat rates in tennis can exceed 1.5-2.0 Liters per hour in hot conditions. - Sodium is the primary electrolyte lost in sweat. Tennis"
